,dispersion ratio,generate level,solar elevation,predict
71北石硖村10,0.152,0.906592,23.7448,1.0
71北石硖村11,0.149,0.908497,29.10128,1.0
71北石硖村12,0.156,0.969941,31.45183,1.0
71北石硖村13,0.272,1.0,30.43291,1.0
71北石硖村14,0.263,0.88254,26.20838,1.0
71北石硖村15,0.101,0.76838,19.36153,0.0
72李塘村8,0.312,0.0,6.672896,1.0
72李塘村9,0.135,0.802909,16.04612,1.0
72李塘村10,0.114,0.972075,23.7448,0.0
72李塘村11,0.062,0.974118,29.10128,0.0
72李塘村12,0.138,1.0,31.45183,1.0
72李塘村13,0.152,0.992806,30.43291,1.0
72李塘村14,0.205,0.946286,26.20838,1.0
72李塘村15,0.125,0.823881,19.36153,1.0
73北市村&东黑山8,0.713,0.5375,6.672896,1.0
73北市村&东黑山9,0.71,0.781818,16.04612,1.0
73北市村&东黑山10,0.702,0.777516,23.7448,1.0
73北市村&东黑山11,0.71,0.769474,29.10128,1.0
73北市村&东黑山12,0.71,0.760889,31.45183,1.0
73北市村&东黑山13,0.71,0.773381,30.43291,1.0
73北市村&东黑山14,0.714,0.788187,26.20838,1.0
73北市村&东黑山15,0.208,0.695274,19.36153,1.0
74魏院村8,0.318,0.0,6.672896,1.0
74魏院村9,0.095,0.722078,16.04612,0.0
74魏院村10,0.074,0.936658,23.7448,0.0
74魏院村11,0.083,0.959484,29.10128,0.0
74魏院村12,0.076,0.9353,31.45183,0.0
74魏院村13,0.093,1.0,30.43291,1.0
74魏院村14,0.134,0.93207,26.20838,1.0
74魏院村15,0.079,0.889126,19.36153,0.0
75苏山头&南市8,0.303,0.486111,6.672896,1.0
75苏山头&南市9,0.24,0.707071,16.04612,1.0
75苏山头&南市10,0.161,0.794899,23.7448,1.0
75苏山头&南市11,0.101,0.818713,29.10128,0.0
75苏山头&南市12,0.066,0.899879,31.45183,0.0
75苏山头&南市13,0.035,0.996703,30.43291,0.0
75苏山头&南市14,0.06,0.990043,26.20838,0.0
75苏山头&南市15,0.122,0.894831,19.36153,1.0
76宋子顺8,0.068,1.0,6.672896,0.0
76宋子顺9,0.091,0.47619,16.04612,0.0
76宋子顺10,0.06,0.864198,23.7448,0.0
76宋子顺11,0.039,0.979592,29.10128,0.0
76宋子顺12,0.066,0.982456,31.45183,0.0
76宋子顺13,0.038,0.899654,30.43291,0.0
76宋子顺14,0.113,0.852713,26.20838,1.0
76宋子顺15,0.092,0.78534,19.36153,0.0
77东孙庄8,0.035,0.952941,6.672896,0.0
77东孙庄9,0.03,0.756303,16.04612,0.0
77东孙庄10,0.025,1.0,23.7448,0.0
77东孙庄11,0.029,0.972389,29.10128,0.0
77东孙庄12,0.032,0.969659,31.45183,0.0
77东孙庄13,0.03,0.956239,30.43291,0.0
77东孙庄14,0.133,0.923393,26.20838,1.0
77东孙庄15,0.116,0.89806,19.36153,1.0
78下盆王8,0.145,0.99,6.672896,1.0
78下盆王9,0.067,0.785714,16.04612,0.0
78下盆王10,0.061,0.855556,23.7448,0.0
78下盆王11,0.096,0.88898,29.10128,0.0
78下盆王12,0.145,0.937895,31.45183,1.0
78下盆王13,0.15,0.924913,30.43291,1.0
78下盆王14,0.138,0.882558,26.20838,1.0
78下盆王15,0.088,0.777487,19.36153,0.0
79龙桥8,0.21,1.0,6.672896,1.0
79龙桥9,0.171,0.793651,16.04612,1.0
79龙桥10,0.12,0.864198,23.7448,1.0
79龙桥11,0.06,0.857143,29.10128,0.0
79龙桥12,0.049,0.877193,31.45183,0.0
79龙桥13,0.085,0.899654,30.43291,0.0
79龙桥14,0.142,0.891473,26.20838,1.0
79龙桥15,0.091,0.837696,19.36153,0.0
80林洼,0.055,0.942308,6.672896,0.0
80林洼,0.03,0.897436,16.04612,0.0
80林洼,0.025,0.988841,23.7448,0.0
80林洼,0.034,1.0,29.10128,0.0
80林洼,0.025,0.958839,31.45183,0.0
80林洼,0.032,0.945568,30.43291,0.0
80林洼,0.043,0.986136,26.20838,0.0
80林洼,0.363,0.937374,19.36153,1.0
81铁山8,0.145,0.9,6.672896,1.0
81铁山9,0.109,0.714286,16.04612,0.0
81铁山10,0.03,0.944444,23.7448,0.0
81铁山11,0.057,0.918367,29.10128,0.0
81铁山12,0.064,0.915789,31.45183,0.0
81铁山13,0.011,0.903114,30.43291,0.0
81铁山14,0.023,0.906977,26.20838,0.0
81铁山15,0.235,0.942408,19.36153,1.0
82西瓜店8,0.139,0.952941,6.672896,0.0
82西瓜店9,0.139,0.756303,16.04612,1.0
82西瓜店10,0.155,1.0,23.7448,1.0
82西瓜店11,0.134,0.933493,29.10128,1.0
82西瓜店12,0.071,0.902786,31.45183,0.0
82西瓜店13,0.06,0.923265,30.43291,0.0
82西瓜店14,0.109,0.923393,26.20838,0.0
82西瓜店15,0.068,0.89806,19.36153,0.0
83皂火8,0.229,0.8,6.672896,1.0
83皂火9,0.09,0.761905,16.04612,0.0
83皂火10,0.053,0.888889,23.7448,0.0
83皂火11,0.017,0.881633,29.10128,0.0
83皂火12,0.017,0.870175,31.45183,0.0
83皂火13,0.037,0.913495,30.43291,0.0
83皂火14,0.046,0.899225,26.20838,0.0
83皂火15,0.217,0.879581,19.36153,1.0
84中栾湾8,0.227,0.98,6.672896,1.0
84中栾湾9,0.17,0.777778,16.04612,1.0
84中栾湾10,0.115,0.967901,23.7448,0.0
84中栾湾11,0.062,1.0,29.10128,0.0
84中栾湾12,0.115,0.997193,31.45183,1.0
84中栾湾13,0.097,0.983391,30.43291,0.0
84中栾湾14,0.093,0.911628,26.20838,0.0
84中栾湾15,0.099,0.92356,19.36153,0.0
85西凤凰8,0.221,0.952941,6.672896,1.0
85西凤凰9,0.173,0.907563,16.04612,1.0
85西凤凰10,0.068,1.0,23.7448,0.0
85西凤凰11,0.059,0.933493,29.10128,0.0
85西凤凰12,0.073,0.936223,31.45183,0.0
85西凤凰13,0.079,0.956239,30.43291,0.0
85西凤凰14,0.16,0.923393,26.20838,1.0
85西凤凰15,0.182,0.89806,19.36153,1.0
86石庄8,0.089,0.996552,6.672896,0.0
86石庄9,0.044,0.632731,16.04612,0.0
86石庄10,0.063,0.984249,23.7448,0.0
86石庄11,0.056,0.935538,29.10128,0.0
86石庄12,0.059,0.944102,31.45183,0.0
86石庄13,0.039,1.0,30.43291,0.0
86石庄14,0.1,0.965651,26.20838,0.0
86石庄15,0.213,0.991334,19.36153,1.0
87东蛮子8,0.182,0.9,6.672896,1.0
87东蛮子9,0.035,0.857143,16.04612,0.0
87东蛮子10,0.035,0.888889,23.7448,0.0
87东蛮子11,0.026,0.918367,29.10128,0.0
87东蛮子12,0.036,0.915789,31.45183,0.0
87东蛮子13,0.045,0.934256,30.43291,0.0
87东蛮子14,0.057,0.94186,26.20838,0.0
87东蛮子15,0.138,0.989529,19.36153,1.0
88三山峪8,0.118,1.0,6.672896,1.0
88三山峪9,0.131,0.793651,16.04612,1.0
88三山峪10,0.073,0.925926,23.7448,0.0
88三山峪11,0.057,0.938776,29.10128,0.0
88三山峪12,0.07,0.912281,31.45183,0.0
88三山峪13,0.121,0.968858,30.43291,1.0
88三山峪14,0.145,0.891473,26.20838,1.0
88三山峪15,0.191,0.942408,19.36153,1.0
89田山8,0.388,0.825,6.672896,1.0
89田山9,0.028,0.52381,16.04612,0.0
89田山10,0.079,0.611111,23.7448,1.0
89田山11,0.023,0.77449,29.10128,0.0
89田山12,0.038,0.810526,31.45183,0.0
89田山13,0.023,0.856401,30.43291,0.0
89田山14,0.027,0.895349,26.20838,0.0
89田山15,0.094,0.907068,19.36153,0.0
90前套8,0.174,0.958621,6.672896,1.0
90前套9,0.1,0.871473,16.04612,0.0
90前套10,0.103,0.904359,23.7448,0.0
90前套11,0.081,0.966676,29.10128,0.0
90前套12,0.089,0.972514,31.45183,0.0
90前套13,0.105,1.0,30.43291,1.0
90前套14,0.093,0.978184,26.20838,0.0
90前套15,0.165,0.810774,19.36153,1.0
91南毛峪8,0.091,0.883333,6.672896,0.0
91南毛峪9,0.03,0.963636,16.04612,0.0
91南毛峪10,0.05,1.0,23.7448,0.0
91南毛峪11,0.035,0.964986,29.10128,0.0
91南毛峪12,0.057,0.92814,31.45183,0.0
91南毛峪13,0.068,0.921463,30.43291,0.0
91南毛峪14,0.162,0.937415,26.20838,1.0
91南毛峪15,0.2,0.834992,19.36153,1.0
92柿子园8,0.2,0.966667,6.672896,1.0
92柿子园9,0.216,0.878788,16.04612,1.0
92柿子园10,0.043,0.91195,23.7448,0.0
92柿子园11,0.061,0.852941,29.10128,0.0
92柿子园12,0.046,0.945652,31.45183,0.0
92柿子园13,0.044,0.973621,30.43291,0.0
92柿子园14,0.06,0.986395,26.20838,0.0
92柿子园15,0.243,0.865672,19.36153,1.0
93高路桥8,0.066,0.733333,6.672896,0.0
93高路桥9,0.048,0.933333,16.04612,0.0
93高路桥10,0.028,0.87631,23.7448,0.0
93高路桥11,0.026,0.831933,29.10128,0.0
93高路桥12,0.028,0.823671,31.45183,0.0
93高路桥13,0.048,0.791367,30.43291,0.0
93高路桥14,0.046,0.808163,26.20838,0.0
93高路桥15,0.124,0.729685,19.36153,1.0
94石板台8,0.342,0.693103,6.672896,1.0
94石板台9,0.028,0.504075,16.04612,0.0
94石板台10,0.075,0.741054,23.7448,1.0
94石板台11,0.042,0.698928,29.10128,0.0
94石板台12,0.062,0.703148,31.45183,0.0
94石板台13,0.101,0.723022,30.43291,0.0
94石板台14,0.061,0.367769,26.20838,0.0
94石板台15,0.163,1.0,19.36153,1.0
96张沟8,0.206,1.0,6.672896,1.0
96张沟9,0.081,0.980392,16.04612,0.0
96张沟10,0.035,0.949367,23.7448,0.0
96张沟11,0.035,0.962343,29.10128,0.0
96张沟12,0.037,0.985915,31.45183,0.0
96张沟13,0.033,0.950704,30.43291,0.0
96张沟14,0.091,0.97166,26.20838,0.0
96张沟15,0.158,0.939227,19.36153,1.0
97野场8,0.267,0.0,6.672896,1.0
97野场9,0.029,0.911188,16.04612,0.0
97野场10,0.02,1.0,23.7448,0.0
97野场11,0.013,0.933301,29.10128,0.0
97野场12,0.024,0.949047,31.45183,0.0
97野场13,0.021,0.916321,30.43291,0.0
97野场14,0.062,0.9407,26.20838,0.0
97野场15,0.093,0.924277,19.36153,0.0
98罗圈崖8,0.0,0.0,6.672896,0.0
98罗圈崖9,0.0,0.0,16.04612,0.0
98罗圈崖10,0.0,0.0,23.7448,0.0
98罗圈崖11,0.0,0.0,29.10128,0.0
98罗圈崖12,0.0,0.0,31.45183,0.0
98罗圈崖13,0.017,0.0,30.43291,0.0
98罗圈崖14,0.034,0.732794,26.20838,0.0
98罗圈崖15,0.111,1.0,19.36153,0.0
99孝直镇张庄8,0.113,0.85,6.672896,0.0
99孝直镇张庄9,0.035,1.0,16.04612,0.0
99孝直镇张庄10,0.042,0.860759,23.7448,0.0
99孝直镇张庄11,0.034,0.853556,29.10128,0.0
99孝直镇张庄12,0.067,0.867958,31.45183,0.0
99孝直镇张庄13,0.057,0.867958,30.43291,0.0
99孝直镇张庄14,0.093,0.860324,26.20838,0.0
99孝直镇张庄15,0.138,0.892265,19.36153,1.0
100孟东8,0.293,0.0,6.672896,1.0
100孟东9,0.018,0.629984,16.04612,0.0
100孟东10,0.02,0.879406,23.7448,0.0
100孟东11,0.021,0.954285,29.10128,0.0
100孟东12,0.013,0.966638,31.45183,0.0
100孟东13,0.021,1.0,30.43291,0.0
100孟东14,0.054,0.970968,26.20838,0.0
100孟东15,0.433,0.99842,19.36153,1.0
101小孙家8,0.038,0.917391,6.672896,0.0
101小孙家9,0.084,0.965675,16.04612,0.0
101小孙家10,0.022,0.982919,23.7448,0.0
101小孙家11,0.007,0.914239,29.10128,0.0
101小孙家12,0.009,0.926073,31.45183,0.0
101小孙家13,0.009,0.958035,30.43291,0.0
101小孙家14,0.018,0.962299,26.20838,0.0
101小孙家15,0.474,1.0,19.36153,1.0
102白佛院8,0.216,0.0,6.672896,1.0
102白佛院9,0.132,0.789474,16.04612,1.0
102白佛院10,0.112,0.918367,23.7448,0.0
102白佛院11,0.085,0.893471,29.10128,0.0
102白佛院12,0.079,0.914826,31.45183,0.0
102白佛院13,0.082,0.917722,30.43291,0.0
102白佛院14,0.128,0.944056,26.20838,1.0
102白佛院15,0.268,0.947867,19.36153,1.0
103铁匠8,0.281,0.98,6.672896,1.0
103铁匠9,0.028,0.644737,16.04612,0.0
103铁匠10,0.017,1.0,23.7448,0.0
103铁匠11,0.023,0.942955,29.10128,0.0
103铁匠12,0.027,0.95836,31.45183,0.0
103铁匠13,0.018,0.961392,30.43291,0.0
103铁匠14,0.111,0.925175,26.20838,0.0
103铁匠15,0.101,0.975355,19.36153,0.0
104城西燕家8,0.082,0.953333,6.672896,0.0
104城西燕家9,0.021,0.752632,16.04612,0.0
104城西燕家10,0.016,0.92415,23.7448,0.0
104城西燕家11,0.016,0.884536,29.10128,0.0
104城西燕家12,0.018,0.962355,31.45183,0.0
104城西燕家13,0.027,0.965401,30.43291,0.0
104城西燕家14,0.023,1.0,26.20838,0.0
104城西燕家15,0.219,0.948815,19.36153,1.0
105边张8,0.038,0.76,6.672896,0.0
105边张9,0.011,1.0,16.04612,0.0
105边张10,0.007,0.77551,23.7448,0.0
105边张11,0.011,0.783505,29.10128,0.0
105边张12,0.007,0.815142,31.45183,0.0
105边张13,0.012,0.793671,30.43291,0.0
105边张14,0.055,0.823776,26.20838,0.0
105边张15,0.367,0.828436,19.36153,1.0
106台子刘8,0.225,1.0,6.672896,1.0
106台子刘9,0.092,0.526316,16.04612,0.0
106台子刘10,0.017,0.765306,23.7448,0.0
106台子刘11,0.012,0.927835,29.10128,0.0
106台子刘12,0.013,0.977918,31.45183,0.0
106台子刘13,0.051,0.949367,30.43291,0.0
106台子刘14,0.072,0.944056,26.20838,0.0
106台子刘15,0.314,0.947867,19.36153,1.0
107西潘家8,0.2,0.959091,6.672896,1.0
107西潘家9,0.069,0.630981,16.04612,0.0
107西潘家10,0.024,0.978664,23.7448,0.0
107西潘家11,0.019,0.922837,29.10128,0.0
107西潘家12,0.015,0.968167,31.45183,0.0
107西潘家13,0.033,0.94088,30.43291,0.0
107西潘家14,0.155,0.972505,26.20838,1.0
107西潘家15,0.151,1.0,19.36153,1.0
108沙河董家8,0.333,0.933333,6.672896,1.0
108沙河董家9,0.032,0.491228,16.04612,0.0
108沙河董家10,0.014,1.0,23.7448,0.0
108沙河董家11,0.015,0.962199,29.10128,0.0
108沙河董家12,0.083,0.971609,31.45183,0.0
108沙河董家13,0.174,0.915612,30.43291,1.0
108沙河董家14,0.189,0.913753,26.20838,1.0
108沙河董家15,0.431,0.884676,19.36153,1.0
109商河齐家8,0.313,0.957576,6.672896,1.0
109商河齐家9,0.104,0.755981,16.04612,0.0
109商河齐家10,0.03,0.928262,23.7448,0.0
109商河齐家11,0.02,0.921379,29.10128,0.0
109商河齐家12,0.025,0.966638,31.45183,0.0
109商河齐家13,0.049,1.0,30.43291,0.0
109商河齐家14,0.272,0.970968,26.20838,1.0
109商河齐家15,0.299,0.99842,19.36153,1.0
110国家8,0.02,0.953333,6.672896,0.0
110国家9,0.05,0.87807,16.04612,0.0
110国家10,0.019,0.972789,23.7448,0.0
110国家11,0.014,0.917297,29.10128,0.0
110国家12,0.015,0.962355,31.45183,0.0
110国家13,0.061,0.965401,30.43291,0.0
110国家14,0.439,1.0,26.20838,1.0
110国家15,0.261,0.81327,19.36153,1.0
111杨广坞8,0.569,1.0,6.672896,1.0
111杨广坞9,0.053,0.657895,16.04612,0.0
111杨广坞10,0.046,0.714286,23.7448,0.0
111杨广坞11,0.036,0.927835,29.10128,0.0
111杨广坞12,0.031,0.946372,31.45183,0.0
111杨广坞13,0.039,0.949367,30.43291,0.0
111杨广坞14,0.067,0.909091,26.20838,0.0
111杨广坞15,0.411,0.900474,19.36153,1.0
112瓦东8,0.058,0.933333,6.672896,0.0
112瓦东9,0.039,0.982456,16.04612,0.0
112瓦东10,0.036,1.0,23.7448,0.0
112瓦东11,0.032,0.930126,29.10128,0.0
112瓦东12,0.037,0.912723,31.45183,0.0
112瓦东13,0.041,0.915612,30.43291,0.0
112瓦东14,0.057,0.881119,26.20838,0.0
112瓦东15,0.316,0.92891,19.36153,1.0
113演武屯8,0.0,0.0,6.672896,0.0
113演武屯9,0.073,0.0,16.04612,0.0
113演武屯10,0.033,0.505421,23.7448,0.0
113演武屯11,0.046,0.987221,29.10128,0.0
113演武屯12,0.03,1.0,31.45183,0.0
113演武屯13,0.032,0.940467,30.43291,0.0
113演武屯14,0.041,0.935205,26.20838,0.0
113演武屯15,0.152,0.892032,19.36153,1.0
114后升8,0.258,0.0,6.672896,1.0
114后升9,0.098,0.752976,16.04612,0.0
114后升10,0.007,0.735465,23.7448,0.0
114后升11,0.009,1.0,29.10128,0.0
114后升12,0.009,0.787083,31.45183,0.0
114后升13,0.016,0.903571,30.43291,0.0
114后升14,0.041,0.903571,26.20838,0.0
114后升15,0.153,0.894159,19.36153,1.0
115新董家8,0.06,0.9875,6.672896,0.0
115新董家9,0.017,0.909539,16.04612,0.0
115新董家10,0.016,0.95727,23.7448,0.0
115新董家11,0.022,0.984107,29.10128,0.0
115新董家12,0.083,0.996845,31.45183,0.0
115新董家13,0.175,1.0,30.43291,1.0
115新董家14,0.248,0.932255,26.20838,1.0
115新董家15,0.4,0.889218,19.36153,1.0
116朱家洼8,0.031,0.852174,6.672896,0.0
116朱家洼9,0.019,0.784897,16.04612,0.0
116朱家洼10,0.018,1.0,23.7448,0.0
116朱家洼11,0.021,0.907814,29.10128,0.0
116朱家洼12,0.016,0.914004,31.45183,0.0
116朱家洼13,0.025,0.916896,30.43291,0.0
116朱家洼14,0.019,0.893889,26.20838,0.0
116朱家洼15,0.424,0.92891,19.36153,1.0
117纪家8,0.315,0.858333,6.672896,1.0
117纪家9,0.296,0.451754,16.04612,1.0
117纪家10,0.04,0.832058,23.7448,0.0
117纪家11,0.034,0.914376,29.10128,0.0
117纪家12,0.067,0.893533,31.45183,0.0
117纪家13,0.086,0.896361,30.43291,0.0
117纪家14,0.049,0.90035,26.20838,0.0
117纪家15,0.381,0.894945,19.36153,1.0
118许家寺8,0.156,0.0,6.672896,1.0
118许家寺9,0.012,0.87807,16.04612,0.0
118许家寺10,0.01,0.972789,23.7448,0.0
118许家寺11,0.014,0.884536,29.10128,0.0
118许家寺12,0.014,0.932282,31.45183,0.0
118许家寺13,0.014,0.935232,30.43291,0.0
118许家寺14,0.225,1.0,26.20838,1.0
118许家寺15,0.287,0.948815,19.36153,1.0
119富常8,0.036,1.0,6.672896,0.0
119富常9,0.019,0.789474,16.04612,0.0
119富常10,0.018,0.918367,23.7448,0.0
119富常11,0.017,0.962199,29.10128,0.0
119富常12,0.018,0.977918,31.45183,0.0
119富常13,0.015,0.981013,30.43291,0.0
119富常14,0.029,0.979021,26.20838,0.0
119富常15,0.45,0.947867,19.36153,1.0
120路家8,0.379,0.954545,6.672896,1.0
120路家9,0.199,0.561497,16.04612,1.0
120路家10,0.133,0.872174,23.7448,1.0
120路家11,0.115,0.87388,29.10128,1.0
120路家12,0.113,0.934112,31.45183,0.0
120路家13,0.044,0.931264,30.43291,0.0
120路家14,0.033,0.929752,26.20838,0.0
120路家15,0.308,0.975758,19.36153,1.0
121郑家8,0.145,0.971429,6.672896,0.0
121郑家9,0.018,1.0,16.04612,0.0
121郑家10,0.017,0.936911,23.7448,0.0
121郑家11,0.022,0.957746,29.10128,0.0
121郑家12,0.021,0.950633,31.45183,0.0
121郑家13,0.058,0.977352,30.43291,0.0
121郑家14,0.357,0.946197,26.20838,1.0
121郑家15,0.493,0.863492,19.36153,1.0
122季家8,0.342,0.911111,6.672896,1.0
122季家9,0.035,0.803922,16.04612,0.0
122季家10,0.069,0.924986,23.7448,0.0
122季家11,0.016,0.93036,29.10128,0.0
122季家12,0.021,0.975195,31.45183,0.0
122季家13,0.167,1.0,30.43291,1.0
122季家14,0.295,0.917027,26.20838,1.0
122季家15,0.541,0.971852,19.36153,1.0
123郑路镇李家坊8,0.163,0.856522,6.672896,1.0
123郑路镇李家坊9,0.013,0.629795,16.04612,0.0
123郑路镇李家坊10,0.01,1.0,23.7448,0.0
123郑路镇李家坊11,0.009,0.904776,29.10128,0.0
123郑路镇李家坊12,0.013,0.890573,31.45183,0.0
123郑路镇李家坊13,0.01,0.913971,30.43291,0.0
123郑路镇李家坊14,0.022,0.862084,26.20838,0.0
123郑路镇李家坊15,0.267,0.913623,19.36153,1.0
124光明8,0.243,1.0,6.672896,1.0
124光明9,0.217,0.882353,16.04612,1.0
124光明10,0.213,0.862944,23.7448,1.0
124光明11,0.172,0.880282,29.10128,1.0
124光明12,0.218,0.917431,31.45183,1.0
124光明13,0.2,0.945122,30.43291,1.0
124光明14,0.186,0.876623,26.20838,1.0
124光明15,0.372,0.933333,19.36153,1.0
125苑家8,0.134,0.875,6.672896,1.0
125苑家9,0.025,0.900735,16.04612,0.0
125苑家10,0.02,0.977157,23.7448,0.0
125苑家11,0.008,0.924296,29.10128,0.0
125苑家12,0.013,0.883028,31.45183,0.0
125苑家13,0.018,0.907012,30.43291,0.0
125苑家14,0.049,0.852273,26.20838,0.0
125苑家15,0.383,0.855556,19.36153,1.0
126斜庙8,0.448,0.97931,6.672896,1.0
126斜庙9,0.124,0.576065,16.04612,1.0
126斜庙10,0.051,0.944513,23.7448,0.0
126斜庙11,0.017,1.0,29.10128,0.0
126斜庙12,0.019,0.988295,31.45183,0.0
126斜庙13,0.07,0.985282,30.43291,0.0
126斜庙14,0.219,0.890282,26.20838,1.0
126斜庙15,0.288,0.826973,19.36153,1.0
127袁窦8,0.382,0.733333,6.672896,1.0
127袁窦9,0.235,0.754902,16.04612,1.0
127袁窦10,0.089,0.670051,23.7448,1.0
127袁窦11,0.026,0.64554,29.10128,0.0
127袁窦12,0.033,0.717635,31.45183,0.0
127袁窦13,0.042,0.737805,30.43291,0.0
127袁窦14,0.048,0.738095,26.20838,0.0
127袁窦15,0.093,0.847407,19.36153,0.0
128问王8,0.474,0.0,6.672896,1.0
128问王9,0.046,0.720081,16.04612,0.0
128问王10,0.034,0.944513,23.7448,0.0
128问王11,0.026,1.0,29.10128,0.0
128问王12,0.026,0.928398,31.45183,0.0
128问王13,0.204,0.925568,30.43291,1.0
128问王14,0.426,0.794895,26.20838,1.0
128问王15,0.287,0.739923,19.36153,1.0
129园里8,0.073,0.875,6.672896,0.0
129园里9,0.025,0.772059,16.04612,0.0
129园里10,0.029,0.932741,23.7448,0.0
129园里11,0.025,0.924296,29.10128,0.0
129园里12,0.03,0.883028,31.45183,0.0
129园里13,0.025,0.907012,30.43291,0.0
129园里14,0.123,0.852273,26.20838,1.0
129园里15,0.477,0.855556,19.36153,1.0
130怀仁镇前刘8,0.0,0.0,6.672896,0.0
130怀仁镇前刘9,0.0,0.0,16.04612,0.0
130怀仁镇前刘10,0.0,0.0,23.7448,0.0
130怀仁镇前刘11,0.0,0.0,29.10128,0.0
130怀仁镇前刘12,0.055,0.0,31.45183,0.0
130怀仁镇前刘13,0.092,0.234073,30.43291,0.0
130怀仁镇前刘14,0.059,0.761473,26.20838,0.0
130怀仁镇前刘15,0.261,0.808333,19.36153,1.0
131陈刘8,0.472,0.946667,6.672896,1.0
131陈刘9,0.029,0.696078,16.04612,0.0
131陈刘10,0.014,0.961083,23.7448,0.0
131陈刘11,0.049,1.0,29.10128,0.0
131陈刘12,0.109,0.955352,31.45183,0.0
131陈刘13,0.112,0.923577,30.43291,0.0
131陈刘14,0.217,0.82987,26.20838,1.0
131陈刘15,0.372,0.883556,19.36153,1.0
132大浦洼8,0.1,0.733333,6.672896,0.0
132大浦洼9,0.129,0.754902,16.04612,1.0
132大浦洼10,0.099,0.744501,23.7448,0.0
132大浦洼11,0.101,0.671362,29.10128,0.0
132大浦洼12,0.055,0.538226,31.45183,0.0
132大浦洼13,0.098,0.626016,30.43291,0.0
132大浦洼14,0.25,1.0,26.20838,1.0
132大浦洼15,0.516,0.717037,19.36153,1.0
133李家市8,0.31,0.971429,6.672896,1.0
133李家市9,0.176,1.0,16.04612,1.0
133李家市10,0.044,0.936911,23.7448,0.0
133李家市11,0.068,0.957746,29.10128,0.0
133李家市12,0.043,0.920926,31.45183,0.0
133李家市13,0.088,0.918118,30.43291,0.0
133李家市14,0.369,0.914657,26.20838,1.0
133李家市15,0.169,0.820317,19.36153,1.0
134肖刘8,0.027,0.9375,6.672896,0.0
134肖刘9,0.008,0.965074,16.04612,0.0
134肖刘10,0.013,0.951777,23.7448,0.0
134肖刘11,0.006,0.858275,29.10128,0.0
134肖刘12,0.009,0.888761,31.45183,0.0
134肖刘13,0.01,0.914634,30.43291,0.0
134肖刘14,0.014,0.913149,26.20838,0.0
134肖刘15,0.381,1.0,19.36153,1.0
135前李村8,0.113,0.0,6.672896,1.0
135前李村9,0.124,0.683099,16.04612,1.0
135前李村10,0.32,0.916111,23.7448,1.0
135前李村11,0.32,0.579481,29.10128,1.0
135前李村12,0.313,0.444797,31.45183,1.0
135前李村13,0.326,0.468147,30.43291,1.0
135前李村14,0.323,0.738043,26.20838,1.0
135前李村15,0.415,0.8245,19.36153,1.0
136玉皇庙村8,0.0,0.0,6.672896,0.0
136玉皇庙村9,0.021,0.0,16.04612,0.0
136玉皇庙村10,0.02,0.57971,23.7448,0.0
136玉皇庙村11,0.02,0.654997,29.10128,0.0
136玉皇庙村12,0.023,0.49076,31.45183,0.0
136玉皇庙村13,0.029,0.55397,30.43291,0.0
136玉皇庙村14,0.127,0.913674,26.20838,1.0
136玉皇庙村15,0.075,1.0,19.36153,0.0
137吕家8,0.393,0.8625,6.672896,1.0
137吕家9,0.335,0.420732,16.04612,1.0
137吕家10,0.194,0.726316,23.7448,1.0
137吕家11,0.162,0.803763,29.10128,1.0
137吕家12,0.144,0.865204,31.45183,1.0
137吕家13,0.119,0.92217,30.43291,1.0
137吕家14,0.216,0.938158,26.20838,1.0
137吕家15,0.247,1.0,19.36153,1.0
138殷巷镇逯家8,0.586,0.0,6.672896,1.0
138殷巷镇逯家9,0.186,0.504878,16.04612,1.0
138殷巷镇逯家10,0.166,0.871579,23.7448,1.0
138殷巷镇逯家11,0.059,0.927419,29.10128,0.0
138殷巷镇逯家12,0.104,0.940909,31.45183,0.0
138殷巷镇逯家13,0.117,0.976415,30.43291,1.0
138殷巷镇逯家14,0.162,0.907895,26.20838,1.0
138殷巷镇逯家15,0.251,1.0,19.36153,1.0
139土马店8,0.48,0.0,6.672896,1.0
139土马店9,0.124,0.430155,16.04612,1.0
139土马店10,0.016,0.788995,23.7448,0.0
139土马店11,0.015,0.853372,29.10128,0.0
139土马店12,0.012,0.884583,31.45183,0.0
139土马店13,0.02,0.887364,30.43291,0.0
139土马店14,0.035,0.835407,26.20838,0.0
139土马店15,0.504,0.937198,19.36153,1.0
140殷巷镇崔家8,0.372,0.0,6.672896,1.0
140殷巷镇崔家9,0.345,0.70122,16.04612,1.0
140殷巷镇崔家10,0.298,0.907895,23.7448,1.0
140殷巷镇崔家11,0.263,0.824373,29.10128,1.0
140殷巷镇崔家12,0.263,0.901254,31.45183,1.0
140殷巷镇崔家13,0.321,0.904088,30.43291,1.0
140殷巷镇崔家14,0.191,0.92807,26.20838,1.0
140殷巷镇崔家15,0.483,1.0,19.36153,1.0
141田滑8,0.519,0.0,6.672896,1.0
141田滑9,0.372,0.421286,16.04612,1.0
141田滑10,0.203,0.363636,23.7448,1.0
141田滑11,0.168,0.804822,29.10128,1.0
141田滑12,0.031,0.703904,31.45183,0.0
141田滑13,0.119,0.570326,30.43291,1.0
141田滑14,0.203,1.0,26.20838,1.0
141田滑15,0.47,0.834431,19.36153,1.0
142绳西8,0.403,0.9,6.672896,1.0
142绳西9,0.018,0.768293,16.04612,0.0
