,dispersion ratio,generate level,solar elevation,predict
10曲堤小刘15,0.249,0.769231,19.36153,1.0
11石门8,0.372,0.858333,6.672896,1.0
11石门9,0.126,0.572222,16.04612,1.0
11石门10,0.135,0.875,23.7448,1.0
11石门11,0.117,0.88488,29.10128,1.0
11石门12,0.126,0.865974,31.45183,1.0
11石门13,0.117,0.815035,30.43291,1.0
11石门14,0.07,0.852649,26.20838,0.0
11石门15,0.419,0.843661,19.36153,1.0
12牛王8,0.475,0.0,6.672896,1.0
12牛王9,0.15,0.666667,16.04612,1.0
12牛王10,0.078,0.776699,23.7448,0.0
12牛王11,0.035,0.893471,29.10128,0.0
12牛王12,0.043,0.949555,31.45183,0.0
12牛王13,0.036,0.949555,30.43291,0.0
12牛王14,0.106,0.960265,26.20838,0.0
12牛王15,0.295,0.940171,19.36153,1.0
13王元气8,0.061,1.0,6.672896,0.0
13王元气9,0.027,0.933333,16.04612,0.0
13王元气10,0.013,0.92233,23.7448,0.0
13王元气11,0.02,0.962199,29.10128,0.0
13王元气12,0.065,0.979228,31.45183,0.0
13王元气13,0.152,0.979228,30.43291,1.0
13王元气14,0.091,0.960265,26.20838,0.0
13王元气15,0.248,0.940171,19.36153,1.0
14姜集8,0.706,0.0,6.672896,1.0
14姜集9,0.457,0.702083,16.04612,1.0
14姜集10,0.375,0.817961,23.7448,1.0
14姜集11,0.355,0.940936,29.10128,1.0
14姜集12,0.357,1.0,31.45183,1.0
14姜集13,0.395,1.0,30.43291,1.0
14姜集14,0.501,0.906664,26.20838,1.0
14姜集15,0.364,0.855101,19.36153,1.0
15肖庙8,0.383,1.0,6.672896,1.0
15肖庙9,0.081,0.533333,16.04612,0.0
15肖庙10,0.075,0.873786,23.7448,0.0
15肖庙11,0.105,0.893471,29.10128,0.0
15肖庙12,0.08,0.919881,31.45183,0.0
15肖庙13,0.057,0.890208,30.43291,0.0
15肖庙14,0.189,0.89404,26.20838,1.0
15肖庙15,0.192,0.897436,19.36153,1.0
16曲堤镇闫家8,0.361,0.0,6.672896,1.0
16曲堤镇闫家9,0.233,0.666667,16.04612,1.0
16曲堤镇闫家10,0.187,0.679612,23.7448,1.0
16曲堤镇闫家11,0.187,0.790378,29.10128,1.0
16曲堤镇闫家12,0.211,0.830861,31.45183,1.0
16曲堤镇闫家13,0.237,0.801187,30.43291,1.0
16曲堤镇闫家14,0.224,0.794702,26.20838,1.0
16曲堤镇闫家15,0.083,0.683761,19.36153,0.0
17王海亭8,0.481,0.881818,6.672896,1.0
17王海亭9,0.013,0.587879,16.04612,0.0
17王海亭10,0.015,0.898941,23.7448,0.0
17王海亭11,0.01,1.0,29.10128,0.0
17王海亭12,0.014,0.968168,31.45183,0.0
17王海亭13,0.027,0.915835,30.43291,0.0
17王海亭14,0.07,0.905178,26.20838,0.0
17王海亭15,0.182,0.904429,19.36153,1.0
18西郭8,0.118,0.833333,6.672896,1.0
18西郭9,0.069,1.0,16.04612,0.0
18西郭10,0.043,0.889968,23.7448,0.0
18西郭11,0.034,0.83047,29.10128,0.0
18西郭12,0.036,0.840752,31.45183,0.0
18西郭13,0.07,0.86548,30.43291,0.0
18西郭14,0.04,0.827815,26.20838,0.0
18西郭15,0.324,0.854701,19.36153,1.0
19老鸦张8,0.129,0.858333,6.672896,1.0
19老鸦张9,0.085,0.801111,16.04612,0.0
19老鸦张10,0.036,1.0,23.7448,0.0
19老鸦张11,0.034,0.914376,29.10128,0.0
19老鸦张12,0.03,0.916914,31.45183,0.0
19老鸦张13,0.095,0.891444,30.43291,0.0
19老鸦张14,0.179,0.881071,26.20838,1.0
19老鸦张15,0.247,0.880342,19.36153,1.0
20济阳街道赵家8,0.506,1.0,6.672896,1.0
20济阳街道赵家9,0.403,0.634146,16.04612,1.0
20济阳街道赵家10,0.167,0.708171,23.7448,1.0
20济阳街道赵家11,0.109,0.762667,29.10128,0.0
20济阳街道赵家12,0.235,0.535511,31.45183,1.0
20济阳街道赵家13,0.298,0.883495,30.43291,1.0
20济阳街道赵家14,0.385,0.87395,26.20838,1.0
20济阳街道赵家15,0.15,0.781955,19.36153,1.0
21白衣店8,0.418,0.859532,6.672896,1.0
21白衣店9,0.041,0.681336,16.04612,0.0
21白衣店10,0.104,1.0,23.7448,0.0
21白衣店11,0.025,0.92371,29.10128,0.0
21白衣店12,0.027,0.523777,31.45183,0.0
21白衣店13,0.026,0.922119,30.43291,0.0
21白衣店14,0.096,0.907685,26.20838,0.0
21白衣店15,0.193,0.924158,19.36153,1.0
22贺铺&五股道8,0.401,0.505051,6.672896,1.0
22贺铺&五股道9,0.146,0.748337,16.04612,1.0
22贺铺&五股道10,0.208,0.981606,23.7448,1.0
22贺铺&五股道11,0.187,1.0,29.10128,1.0
22贺铺&五股道12,0.071,0.581095,31.45183,0.0
22贺铺&五股道13,0.125,0.977576,30.43291,1.0
22贺铺&五股道14,0.27,0.974026,26.20838,1.0
22贺铺&五股道15,0.306,0.897129,19.36153,1.0
24东辛8,0.218,0.901099,6.672896,1.0
24东辛9,0.074,1.0,16.04612,0.0
24东辛10,0.153,0.729294,23.7448,1.0
24东辛11,0.151,0.749714,29.10128,1.0
24东辛12,0.044,0.449269,31.45183,0.0
24东辛13,0.068,0.767684,30.43291,0.0
24东辛14,0.1,0.820328,26.20838,0.0
24东辛15,0.101,0.836735,19.36153,0.0
25花二庄8,0.041,0.788462,6.672896,0.0
25花二庄9,0.032,1.0,16.04612,0.0
25花二庄10,0.012,0.837549,23.7448,0.0
25花二庄11,0.005,0.847333,29.10128,0.0
25花二庄12,0.008,0.509588,31.45183,0.0
25花二庄13,0.045,0.970267,30.43291,0.0
25花二庄14,0.233,0.77521,26.20838,1.0
25花二庄15,0.116,0.847744,19.36153,1.0
26路楼8,0.15,0.955,6.672896,0.0
26路楼9,0.081,0.842647,16.04612,0.0
26路楼10,0.047,0.950249,23.7448,0.0
26路楼11,0.044,0.92526,29.10128,0.0
26路楼12,0.047,0.924194,31.45183,0.0
26路楼13,0.054,0.870821,30.43291,0.0
26路楼14,0.137,0.96573,26.20838,1.0
26路楼15,0.331,1.0,19.36153,1.0
27南北庄8,0.411,0.0,6.672896,1.0
27南北庄9,0.094,0.818015,16.04612,0.0
27南北庄10,0.138,0.830224,23.7448,1.0
27南北庄11,0.115,0.923875,29.10128,0.0
27南北庄12,0.121,0.933065,31.45183,1.0
27南北庄13,0.205,0.946809,30.43291,1.0
27南北庄14,0.32,1.0,26.20838,1.0
27南北庄15,0.091,0.931937,19.36153,0.0
28新市镇付家8,0.404,0.715217,6.672896,1.0
28新市镇付家9,0.245,0.525895,16.04612,1.0
28新市镇付家10,0.072,0.60491,23.7448,1.0
28新市镇付家11,0.009,0.692944,29.10128,0.0
28新市镇付家12,0.045,0.369144,31.45183,0.0
28新市镇付家13,0.083,1.0,30.43291,1.0
28新市镇付家14,0.181,0.294659,26.20838,1.0
28新市镇付家15,0.424,0.524243,19.36153,1.0
29新市镇李家坊8,0.237,0.89,6.672896,1.0
29新市镇李家坊9,0.059,0.785294,16.04612,0.0
29新市镇李家坊10,0.02,0.974129,23.7448,0.0
29新市镇李家坊11,0.019,0.954671,29.10128,0.0
29新市镇李家坊12,0.02,0.976129,31.45183,0.0
29新市镇李家坊13,0.022,0.892705,30.43291,0.0
29新市镇李家坊14,0.316,1.0,26.20838,1.0
29新市镇李家坊15,0.308,0.931937,19.36153,1.0
30贺家8,0.571,0.0,6.672896,1.0
30贺家9,0.499,0.647059,16.04612,1.0
30贺家10,0.406,0.656716,23.7448,1.0
30贺家11,0.398,0.685121,29.10128,1.0
30贺家12,0.389,0.780645,31.45183,1.0
30贺家13,0.391,0.802432,30.43291,1.0
30贺家14,0.5,0.782772,26.20838,1.0
30贺家15,0.4,0.691099,19.36153,1.0
31韩胡同8,0.494,0.0,6.672896,1.0
31韩胡同9,0.387,0.668768,16.04612,1.0
31韩胡同10,0.081,0.633499,23.7448,1.0
31韩胡同11,0.011,0.692371,29.10128,0.0
31韩胡同12,0.027,0.880184,31.45183,0.0
31韩胡同13,0.039,0.856998,30.43291,0.0
31韩胡同14,0.034,0.919743,26.20838,0.0
31韩胡同15,0.466,1.0,19.36153,1.0
32好庙8,0.14,0.927273,6.672896,0.0
32好庙9,0.103,0.702479,16.04612,0.0
32好庙10,0.016,0.872187,23.7448,0.0
32好庙11,0.015,0.947578,29.10128,0.0
32好庙12,0.018,0.915072,31.45183,0.0
32好庙13,0.017,0.854067,30.43291,0.0
32好庙14,0.021,0.958068,26.20838,0.0
32好庙15,0.105,0.918092,19.36153,0.0
33东郎8,0.32,0.0,6.672896,1.0
33东郎9,0.124,0.789627,16.04612,1.0
