18西郭10	0.043	0.889968	23.7448
18西郭11	0.034	0.83047	29.10128
18西郭12	0.036	0.840752	31.45183
18西郭13	0.07	0.86548	30.43291
18西郭14	0.04	0.827815	26.20838
18西郭15	0.324	0.854701	19.36153
19老鸦张8	0.129	0.858333	6.672896
19老鸦张9	0.085	0.801111	16.04612
19老鸦张10	0.036	1	23.7448
19老鸦张11	0.034	0.914376	29.10128
19老鸦张12	0.03	0.916914	31.45183
19老鸦张13	0.095	0.891444	30.43291
19老鸦张14	0.179	0.881071	26.20838
19老鸦张15	0.247	0.880342	19.36153
20济阳街道赵家8	0.506	1	6.672896
20济阳街道赵家9	0.403	0.634146	16.04612
20济阳街道赵家10	0.167	0.708171	23.7448
20济阳街道赵家11	0.109	0.762667	29.10128
20济阳街道赵家12	0.235	0.535511	31.45183
20济阳街道赵家13	0.298	0.883495	30.43291
20济阳街道赵家14	0.385	0.87395	26.20838
20济阳街道赵家15	0.15	0.781955	19.36153
21白衣店8	0.418	0.859532	6.672896
21白衣店9	0.041	0.681336	16.04612
21白衣店10	0.104	1	23.7448
21白衣店11	0.025	0.92371	29.10128
21白衣店12	0.027	0.523777	31.45183
21白衣店13	0.026	0.922119	30.43291
21白衣店14	0.096	0.907685	26.20838
21白衣店15	0.193	0.924158	19.36153
22贺铺&五股道8	0.401	0.505051	6.672896
22贺铺&五股道9	0.146	0.748337	16.04612
22贺铺&五股道10	0.208	0.981606	23.7448
22贺铺&五股道11	0.187	1	29.10128
22贺铺&五股道12	0.071	0.581095	31.45183
22贺铺&五股道13	0.125	0.977576	30.43291
22贺铺&五股道14	0.27	0.974026	26.20838
22贺铺&五股道15	0.306	0.897129	19.36153
24东辛8	0.218	0.901099	6.672896
24东辛9	0.074	1	16.04612
24东辛10	0.153	0.729294	23.7448
24东辛11	0.151	0.749714	29.10128
24东辛12	0.044	0.449269	31.45183
24东辛13	0.068	0.767684	30.43291
24东辛14	0.1	0.820328	26.20838
24东辛15	0.101	0.836735	19.36153
25花二庄8	0.041	0.788462	6.672896
25花二庄9	0.032	1	16.04612
25花二庄10	0.012	0.837549	23.7448
25花二庄11	0.005	0.847333	29.10128
25花二庄12	0.008	0.509588	31.45183
25花二庄13	0.045	0.970267	30.43291
25花二庄14	0.233	0.77521	26.20838
25花二庄15	0.116	0.847744	19.36153
26路楼8	0.15	0.955	6.672896
26路楼9	0.081	0.842647	16.04612
26路楼10	0.047	0.950249	23.7448
26路楼11	0.044	0.92526	29.10128
26路楼12	0.047	0.924194	31.45183
26路楼13	0.054	0.870821	30.43291
26路楼14	0.137	0.96573	26.20838
26路楼15	0.331	1	19.36153
27南北庄8	0.411	0	6.672896
27南北庄9	0.094	0.818015	16.04612
27南北庄10	0.138	0.830224	23.7448
27南北庄11	0.115	0.923875	29.10128
27南北庄12	0.121	0.933065	31.45183
27南北庄13	0.205	0.946809	30.43291
27南北庄14	0.32	1	26.20838
27南北庄15	0.091	0.931937	19.36153
28新市镇付家8	0.404	0.715217	6.672896
28新市镇付家9	0.245	0.525895	16.04612
28新市镇付家10	0.072	0.60491	23.7448
28新市镇付家11	0.009	0.692944	29.10128
28新市镇付家12	0.045	0.369144	31.45183
28新市镇付家13	0.083	1	30.43291
28新市镇付家14	0.181	0.294659	26.20838
28新市镇付家15	0.424	0.524243	19.36153
29新市镇李家坊8	0.237	0.89	6.672896
29新市镇李家坊9	0.059	0.785294	16.04612
29新市镇李家坊10	0.02	0.974129	23.7448
29新市镇李家坊11	0.019	0.954671	29.10128
29新市镇李家坊12	0.02	0.976129	31.45183
29新市镇李家坊13	0.022	0.892705	30.43291
29新市镇李家坊14	0.316	1	26.20838
29新市镇李家坊15	0.308	0.931937	19.36153
30贺家8	0.571	0	6.672896
30贺家9	0.499	0.647059	16.04612
30贺家10	0.406	0.656716	23.7448
30贺家11	0.398	0.685121	29.10128
30贺家12	0.389	0.780645	31.45183
30贺家13	0.391	0.802432	30.43291
30贺家14	0.5	0.782772	26.20838
30贺家15	0.4	0.691099	19.36153
31韩胡同8	0.494	0	6.672896
31韩胡同9	0.387	0.668768	16.04612
31韩胡同10	0.081	0.633499	23.7448
31韩胡同11	0.011	0.692371	29.10128
31韩胡同12	0.027	0.880184	31.45183
31韩胡同13	0.039	0.856998	30.43291
31韩胡同14	0.034	0.919743	26.20838
31韩胡同15	0.466	1	19.36153
32好庙8	0.14	0.927273	6.672896
32好庙9	0.103	0.702479	16.04612
32好庙10	0.016	0.872187	23.7448
32好庙11	0.015	0.947578	29.10128
32好庙12	0.018	0.915072	31.45183
32好庙13	0.017	0.854067	30.43291
32好庙14	0.021	0.958068	26.20838
32好庙15	0.105	0.918092	19.36153
33东郎8	0.32	0	6.672896
33东郎9	0.124	0.789627	16.04612
33东郎10	0.118	0.82559	23.7448
33东郎11	0.123	0.91297	29.10128
33东郎12	0.128	0.96002	31.45183
33东郎13	0.101	0.994307	30.43291
33东郎14	0.253	1	26.20838
33东郎15	0.064	0.980388	19.36153
34孙耿镇董家8	0.153	1	6.672896
34孙耿镇董家9	0.122	0.909091	16.04612
34孙耿镇董家10	0.103	0.940594	23.7448
34孙耿镇董家11	0.075	0.912409	29.10128
34孙耿镇董家12	0.075	0.953947	31.45183
34孙耿镇董家13	0.092	0.953947	30.43291
34孙耿镇董家14	0.165	0.922509	26.20838
34孙耿镇董家15	0.151	0.940594	19.36153
35垛石镇逯家8	0.394	0.755556	6.672896
35垛石镇逯家9	0.022	1	16.04612
35垛石镇逯家10	0.012	0.789386	23.7448
35垛石镇逯家11	0.013	0.888889	29.10128
35垛石镇逯家12	0.021	0.853047	31.45183
35垛石镇逯家13	0.029	0.757852	30.43291
35垛石镇逯家14	0.088	0.792343	26.20838
35垛石镇逯家15	0.097	0.7516	19.36153
36莫家8	0.438	0.957143	6.672896
36莫家9	0.029	0.563025	16.04612
36莫家10	0.054	1	23.7448
36莫家11	0.104	0.993574	29.10128
36莫家12	0.059	0.988018	31.45183
36莫家13	0.106	0.901867	30.43291
36莫家14	0.213	0.967897	26.20838
36莫家15	0.091	0.902019	19.36153
37建华8	0.519	1	6.672896
37建华9	0.343	0.735294	16.04612
37建华10	0.256	0.746269	23.7448
37建华11	0.078	0.934256	29.10128
37建华12	0.109	0.935484	31.45183
37建华13	0.112	0.911854	30.43291
37建华14	0.291	0.973783	26.20838
37建华15	0.295	0.942408	19.36153
38姜家窑8	0.323	0.996552	6.672896
38姜家窑9	0.121	0.586207	16.04612
38姜家窑10	0.059	0.842855	23.7448
38姜家窑11	0.108	1	29.10128
38姜家窑12	0.112	0.996552	31.45183
38姜家窑13	0.132	0.90871	30.43291
38姜家窑14	0.123	0.970425	26.20838
38姜家窑15	0.18	0.991334	19.36153
39坡杨家8	0.182	0.913636	6.672896
39坡杨家9	0.01	0.671791	16.04612
39坡杨家10	0.009	1	23.7448
39坡杨家11	0.094	0.980025	29.10128
39坡杨家12	0.155	0.913636	31.45183
39坡杨家13	0.094	0.805333	30.43291
39坡杨家14	0.201	0.889683	26.20838
39坡杨家15	0.3	0.861019	19.36153
40后楼8	0.237	0	6.672896
40后楼9	0.096	0.727124	16.04612
40后楼10	0.073	0.934771	23.7448
40后楼11	0.053	0.889658	29.10128
40后楼12	0.054	0.956989	31.45183
40后楼13	0.072	0.871665	30.43291
40后楼14	0.064	1	26.20838
40后楼15	0.261	0.983711	19.36153
41茌家8	0.476	0	6.672896
41茌家9	0.354	0.758929	16.04612
41茌家10	0.354	0.975657	23.7448
41茌家11	0.354	1	29.10128
41茌家12	0.354	0.998848	31.45183
41茌家13	0.355	0.941164	30.43291
41茌家14	0.452	0.966426	26.20838
41茌家15	0.373	0.918661	19.36153
42西宋屯8	0.358	0	6.672896
42西宋屯9	0.16	0.701357	16.04612
42西宋屯10	0.098	0.889782	23.7448
42西宋屯11	0.073	0.990152	29.10128
42西宋屯12	0.053	1	31.45183
42西宋屯13	0.066	0.942249	30.43291
42西宋屯14	0.149	0.982426	26.20838
42西宋屯15	0.138	0.936367	19.36153
43温桥8	0.313	0.955	6.672896
43温桥9	0.177	0.561765	16.04612
43温桥10	0.038	0.902736	23.7448
43温桥11	0.039	0.892215	29.10128
43温桥12	0.036	0.955	31.45183
43温桥13	0.03	0.841793	30.43291
43温桥14	0.044	0.96573	26.20838
43温桥15	0.367	1	19.36153
44北郭8	0.148	0.918182	6.672896
44北郭9	0.015	0.834711	16.04612
44北郭10	0.016	1	23.7448
44北郭11	0.014	0.971798	29.10128
44北郭12	0.019	0.936304	31.45183
44北郭13	0.031	0.936304	30.43291
44北郭14	0.11	0.914794	26.20838
44北郭15	0.216	0.909091	19.36153
45太平傅家8	0.113	0.927273	6.672896
45太平傅家9	0.014	0.702479	16.04612
45太平傅家10	0.018	0.963996	23.7448
45太平傅家11	0.015	0.913736	29.10128
45太平傅家12	0.014	0.915072	31.45183
45太平傅家13	0.025	0.915072	30.43291
45太平傅家14	0.1	0.889634	26.20838
45太平傅家15	0.429	0.918092	19.36153
46秦一8	0.457	1	6.672896
46秦一9	0.382	0.606061	16.04612
46秦一10	0.369	0.792079	23.7448
46秦一11	0.363	0.912409	29.10128
46秦一12	0.363	0.888158	31.45183
46秦一13	0.357	0.888158	30.43291
46秦一14	0.391	0.885609	26.20838
46秦一15	0.495	0.940594	19.36153
47艾家栏8	0.06	0.733333	6.672896
47艾家栏9	0.011	1	16.04612
47艾家栏10	0.01	0.834983	23.7448
47艾家栏11	0.011	0.776156	29.10128
47艾家栏12	0.007	0.820175	31.45183
47艾家栏13	0.009	0.820175	30.43291
47艾家栏14	0.027	0.811808	26.20838
47艾家栏15	0.489	0.871287	19.36153
48孙家店8	0.387	1	6.672896
48孙家店9	0.376	0.909091	16.04612
48孙家店10	0.37	0.792079	23.7448
48孙家店11	0.378	0.80292	29.10128
48孙家店12	0.383	0.822368	31.45183
48孙家店13	0.377	0.789474	30.43291
48孙家店14	0.369	0.811808	26.20838
48孙家店15	0.452	0.841584	19.36153
49东梁8	0.265	0.733333	6.672896
49东梁9	0.067	0.555556	16.04612
49东梁10	0.028	0.726073	23.7448
49东梁11	0.032	0.749392	29.10128
49东梁12	0.03	0.723684	31.45183
49东梁13	0.032	0.747807	30.43291
49东梁14	0.027	0.703567	26.20838
49东梁15	0.174	0.726073	19.36153
50张宅8	0.211	0.918182	6.672896
50张宅9	0.078	0.695592	16.04612
50张宅10	0.135	1	23.7448
50张宅11	0.175	0.871267	29.10128
50张宅12	0.228	0.875897	31.45183
50张宅13	0.18	0.845694	30.43291
50张宅14	0.331	0.847031	26.20838
50张宅15	0.256	0.727273	19.36153
51西仁岸8	0.074	0.901099	6.672896
51西仁岸9	0.012	1	16.04612
51西仁岸10	0.095	0.911618	23.7448
51西仁岸11	0.1	0.81219	29.10128
51西仁岸12	0.108	0.465909	31.45183
51西仁岸13	0.115	0.796117	30.43291
51西仁岸14	0.193	0.787515	26.20838
51西仁岸15	0.208	0.748657	19.36153
52北吴8	0.613	1	6.672896
52北吴9	0.427	0.47561	16.04612
52北吴10	0.256	0.505837	23.7448
52北吴11	0.032	0.762667	29.10128
52北吴12	0.029	0.535511	31.45183
52北吴13	0.154	0.946602	30.43291
52北吴14	0.417	0.983193	26.20838
52北吴15	0.133	0.928571	19.36153
53大常8	0.212	1	6.672896
53大常9	0.079	0.792683	16.04612
53大常10	0.045	0.910506	23.7448
53大常11	0.049	0.936	29.10128
53大常12	0.04	0.517045	31.45183
53大常13	0.045	0.883495	30.43291
53大常14	0.173	0.946779	26.20838
53大常15	0.061	0.928571	19.36153
54大仁岸8	0.183	0.901099	6.672896
54大仁岸9	0.04	1	16.04612
54大仁岸10	0.022	0.820456	23.7448
54大仁岸11	0.043	0.81219	29.10128
54大仁岸12	0.041	0.482549	31.45183
54大仁岸13	0.096	0.824549	30.43291
54大仁岸14	0.098	0.853141	26.20838
54大仁岸15	0.388	0.880773	19.36153
55后封8	0.311	1	6.672896
55后封9	0.389	0.792683	16.04612
55后封10	0.324	0.657588	23.7448
55后封11	0.241	0.693333	29.10128
55后封12	0.089	0.461648	31.45183
55后封13	0.239	0.788835	30.43291
55后封14	0.28	0.837535	26.20838
55后封15	0.235	0.830827	19.36153
56小冯8	0.705	0.93007	6.672896
56小冯9	0.316	0.44235	16.04612
56小冯10	0.195	0.611602	23.7448
56小冯11	0.044	0.773818	29.10128
56小冯12	0.018	0.515238	31.45183
56小冯13	0.105	0.909753	30.43291
56小冯14	0.04	0.982175	26.20838
56小冯15	0.417	1	19.36153
57小仁岸8	0.145	0.941392	6.672896
57小仁岸9	0.023	0.89547	16.04612
57小仁岸10	0.012	1	23.7448
57小仁岸11	0.016	0.913778	29.10128
57小仁岸12	0.038	0.52151	31.45183
57小仁岸13	0.189	0.831715	30.43291
57小仁岸14	0.29	0.822729	26.20838
57小仁岸15	0.123	0.736126	19.36153
58寨子8	0.575	0.93007	6.672896
58寨子9	0.201	0.44235	16.04612
58寨子10	0.022	0.799788	23.7448
58寨子11	0.017	0.93503	29.10128
58寨子12	0.016	0.566761	31.45183
58寨子13	0.032	0.968447	30.43291
58寨子14	0.19	0.982175	26.20838
58寨子15	0.284	1	19.36153
59桑皮赵8	0.283	0.974359	6.672896
59桑皮赵9	0.02	0.926829	16.04612
59桑皮赵10	0.019	0.985733	23.7448
59桑皮赵11	0.036	0.945778	29.10128
59桑皮赵12	0.023	0.539773	31.45183
59桑皮赵13	0.028	0.953074	30.43291
59桑皮赵14	0.076	0.993464	26.20838
59桑皮赵15	0.087	1	19.36153
60谢庄8	0.282	1	6.672896
60谢庄9	0.285	0.784314	16.04612
60谢庄10	0.228	0.822785	23.7448
60谢庄11	0.193	0.878661	29.10128
60谢庄12	0.205	0.880282	31.45183
60谢庄13	0.168	0.950704	30.43291
60谢庄14	0.166	0.931174	26.20838
60谢庄15	0.106	0.883978	19.36153
61西池8	0.194	0.952632	6.672896
61西池9	0.079	0.933953	16.04612
61西池10	0.047	0.904397	23.7448
61西池11	0.075	0.996477	29.10128
61西池12	0.094	0.972758	31.45183
61西池13	0.134	0.939214	30.43291
61西池14	0.091	0.964202	26.20838
61西池15	0.223	1	19.36153
62王山头村8	0.343	0.952632	6.672896
62王山头村9	0.288	0.747162	16.04612
62王山头村10	0.034	0.783811	23.7448
62王山头村11	0.033	0.876899	29.10128
62王山头村12	0.108	0.972758	31.45183
62王山头村13	0.194	0.972758	30.43291
62王山头村14	0.171	0.964202	26.20838
62王山头村15	0.195	1	19.36153
63杜庄村8	0.215	1	6.672896
63杜庄村9	0.142	0.784314	16.04612
63杜庄村10	0.134	0.949367	23.7448
63杜庄村11	0.105	0.962343	29.10128
63杜庄村12	0.121	0.985915	31.45183
63杜庄村13	0.104	0.985915	30.43291
63杜庄村14	0.137	0.97166	26.20838
63杜庄村15	0.136	0.994475	19.36153
64南刘庄8	0.394	0.919231	6.672896
64南刘庄9	0.116	0.720965	16.04612
64南刘庄10	0.031	0.989046	23.7448
64南刘庄11	0.036	1	29.10128
64南刘庄12	0.057	0.906284	31.45183
64南刘庄13	0.094	0.938651	30.43291
64南刘庄14	0.17	0.89318	26.20838
64南刘庄15	0.143	0.863366	19.36153
65臧庄村8	0.104	0.95	6.672896
65臧庄村9	0.141	0.931373	16.04612
65臧庄村10	0.103	0.901899	23.7448
65臧庄村11	0.066	0.914226	29.10128
65臧庄村12	0.08	0.93662	31.45183
65臧庄村13	0.101	0.97007	30.43291
65臧庄村14	0.051	1	26.20838
65臧庄村15	0.178	0.997238	19.36153
66张海村8	0.247	0.95	6.672896
66张海村9	0.202	0.931373	16.04612
66张海村10	0.121	0.781646	23.7448
66张海村11	0.05	0.914226	29.10128
